SMILES;SLC6A19_score;SLC6A20_score;source
CN[C@@]1(C)[C@@H]2CC[C@@H](C2)C1(C)C;-4.71554;-6.53674;beide
CN[C@@]1(C)[C@H]2CC[C@H](C2)C1(C)C;-5.47347;-5.75568;beide
CN[C@]1(C)[C@@H]2CC[C@@H](C2)C1(C)C;-6.02631;-6.10784;beide
CN[C@]1(C)[C@H]2CC[C@H](C2)C1(C)C;-5.27555;-5.24246;beide
COC(=O)/C=C/C(=O)OC;-3.65397;-4.23633;beide
COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O;-5.45947;-1.98162;beide
COC(=O)/C=C/C(=O)[O-];-3.59948;-3.76343;beide
COC(=O)CCC(=O)CN;-3.71577;-5.8086;beide
COC(=O)CCC(=O)C[NH3+];-6.02985;-5.67961;beide
COC(=O)c1ccccc1O;-5.85825;-6.36936;beide
COC(=O)c1ccccc1[O-];-4.24971;-5.07645;beide
COC(F)(F)C(Cl)Cl;-5.20796;-5.76263;beide
COC[C@@]1(CO)C(=O)C2CCN1CC2;-4.47717;-5.15955;beide
COC[C@@]1(CO)C(=O)[C@H]2CC[N@@H+]1CC2;-6.11146;-5.34423;beide
COC[C@]1(CO)C(=O)C2CCN1CC2;-4.95274;-3.92094;beide
COC[C@]1(CO)C(=O)[C@H]2CC[N@@H+]1CC2;-6.50484;-5.35752;beide
COc1ccc(O)cc1;-6.24385;-6.54158;beide
COc1ccc(OC)c([C@@H](O)[C@@H](C)N)c1;-0.621999;-3.32919;beide
COc1ccc(OC)c([C@@H](O)[C@@H](C)[NH3+])c1;-3.01454;-5.56868;beide
COc1ccc(OC)c([C@@H](O)[C@H](C)N)c1;-3.71617;-3.82523;beide
COc1ccc(OC)c([C@@H](O)[C@H](C)[NH3+])c1;-4.31979;-5.87889;beide
COc1ccc(OC)c([C@H](O)[C@@H](C)N)c1;-2.68696;-2.10565;beide
COc1ccc(OC)c([C@H](O)[C@@H](C)[NH3+])c1;-5.25185;-6.12405;beide
COc1ccc(OC)c([C@H](O)[C@H](C)N)c1;-0.530245;-3.08535;beide
COc1ccc(OC)c([C@H](O)[C@H](C)[NH3+])c1;-5.39169;-4.8414;beide
COc1ccccc1O;-6.03412;-6.4277;beide
COc1ccccc1OC[C@@H](O)CO;-4.87432;-4.15941;beide
COc1ccccc1OC[C@H](O)CO;-5.02226;-3.94951;beide
CS(C)=O;-4.9568;-5.31389;beide
CSCC[C@H]([NH3+])C(=O)[O-];-5.54917;-4.73239;beide
C[C@@H](COc1ccccc1)NN;-5.5918;-4.36316;beide
C[C@@H](COc1ccccc1)N[NH3+];-5.26063;-5.1659;beide
C[C@@H](COc1ccccc1)[NH2+]N;-3.6769;-1.80438;beide
